Filename,Prompt,Language,Score Level,original_essay,corrected_essay
443391.txt,P3,ZHO,medium,"    It is sometimes difficult to discuss if young people do not spend too much to help  their communities. Some people may agree that  young peolpe don't help others, while oyhers tend to state that young people help each others  the their communities all  the time. However, I have also come to my own opinion that young people do not spend much time on helping their communities.
    First, as techonolgies improve, too many recreations  could deflect the concentration of young kids. For instance, the video games and internet, created in late 1980's, provide much more visual pleasure that before. So more and moer young people would like to spend all their to play games or chat on the net rather than give some time to help their communities. Unlike young kid before, who did have more time to interact with other members in their communities, young people nowadays have less topics of communities, except games, to discuss.  So they don't share their lives with their communities, no mention to help their communities.  
    Second, in my opinion, fewer and fewer young people nowadays do realize the meaning of helping others. It is a pitty that even in the school, teachers rarely instruct the real virtues of human. All the teachers ask young kids to do is that they should forcus on themslves, not others. They just acquire knowlege form textbooks, but they don't learn how to deal with other people, respect other peoplem,and even help other people. As a result, they do not give any support to their communities, because they don't how to do and what to do.   
    Thay is not to say , of course, that other points of views are without merit. I am sure that there are do some young kids serving others.
However,on the basis of the above mentioned, I think the reasons I have provided  in favor of my position are build on a solid foundation. 
","It is sometimes difficult to discuss whether young people do not spend too much to help their communities. Some people may agree that young people don't help others, while others tend to state that young people help each other in their communities all the time. However, I have also come to my own opinion that young people do not spend much time on helping their communities. First, as technology improves, too many recreations could deflect the concentration of young kids. For instance, video games and the internet, created in the late 1980's, provide much more visual pleasure than before. So more and more young people would like to spend all their time playing games or chatting on the net rather than giving some time to help their communities. Unlike young kids before, who did have more time to interact with other members in their communities, young people nowadays have less topics of communities, except games, to discuss. So they don't share their lives with their communities, no mention of helping their communities. Second, in my opinion, fewer and fewer young people nowadays realize the meaning of helping others. It is a pity that even in school, teachers rarely instruct the real virtues of humans. All the teachers ask young kids to do is that they should focus on themselves, not others. They just acquire knowledge from textbooks, but they don't learn how to deal with other people, respect other people,and even help other people. As a result, they do not give any support to their communities, because they don't know how to do and what to do. That is not to say , of course, that other points of views are without merit. I am sure that there are some young kids serving others. However,on the basis of the above mentioned, I think the reasons I have provided in favor of my position are built on a solid foundation. "
1009294.txt,P7,KOR,medium,"	In an aspect of shot time,It seems more effective to learn facts than understand ideas and concepts because we can see or realize that how much information or how many facts we learned and knew. However, I totally agree that it is more important for students to understand ideas and concepts than it is for them to learn facts because of following 3 reasons. 
	Firstly, understanding lasts longer than learning or memorizing something. For example, if a student understand the ideas that why sky looks blue when she is very young, she will know the ideas until she die. She can also explain it others who wnat to know about it. However, if the women learn it by heart without understanding, there is high possibility to forget about it. 
	Secondly, understanding something has a power to apply others. There are two aspects in all information we face everyday.
One is fact that we can see easily. It is like a penonmenon in nature.
We can believe what we can see. The other is  concept that we can see only when we study it and we understand it. If people understand a certain infomation, it means that people know how the information is formed, what the infomation and how they can apply it others.
It is good for students because they must have interesing about the information when they can understand it totally and apply it others.
It can make students keep studying and learning.
	Lastly, understanding  ideas is less boring than learning fats.
Students do not like to learn something without certain reasons. They are not interested in learning hard and difficult facts. Therefore, we make them understand something to learn. Understanding is different from learning. It can give students a motive to learn and let them feel funny.        
	Understanding is loger and interesting and have a power to apply. That is why I a
","In an aspect of shot time,It seems more effective to learn facts than to understand ideas and concepts because we can see or realize how much information or how many facts we learned and knew. However, I totally agree that it is more important for students to understand ideas and concepts than it is for them to learn facts because of the following 3 reasons. Firstly, understanding lasts longer than learning or memorizing something. For example, if a student understands the idea that why the sky looks blue when she is very young, she will know the ideas until she dies. She can also explain it to others who want to know about it. However, if women learn it by heart without understanding, there is a high possibility that they will forget about it. Secondly, understanding something has the power to apply to others. There are two aspects to all the information we face everyday. One is the fact that we can see easily. It is like a penonmenon in nature. We can believe what we can see. The other is the concept that we can see only when we study it and we understand it. If people understand a certain information, it means that people know how the information is formed, what the information and how they can apply it to others. It is good for students because they must have interest in the information when they can understand it totally and apply it to others. It can make students keep studying and learning. Lastly, understanding ideas is less boring than learning fats. Students do not like to learn something without certain reasons. They are not interested in learning hard and difficult facts. Therefore, we make them understand something to learn. Understanding is different from learning. It can give students a motive to learn and make them feel funny. Understanding is a logician and interesting and has the power to apply. That is why I am a"
125348.txt,P1,ARA,medium,"	To have broad knowledge of many academic subjects is to learn many things in different fields of study. To specialize in one specific subject is to look at one thing from one point of view. In my opinion, it is better to have both of them as a part of your academical development, and they are both equally important.
	What truly happens in every person's academical development is that this person goes through different equally important stages. In the first stages of a childs life, this child learns how to speak, and then he or she learns how to write. This is general information that everyone should start with in the begining of their academic life.
	Then comes school, whatever, or wherever this person gets their education is all called school; Although, there are some  differences that occur on the level of that education. In school, people are taught all the essentials of life, and a broad knowledge of many academic subjects, including different sciences, mathematics, arts, music, and languages. These are the foundations each and every one of us need in our life. As the school education comes to an end, different people start to specialize in different subjects of their interests.
	Later on in life, we are approached by university; by we, i am reffering to the people who are looking at pursuing further education. University is where we are supposed to narrow our choices down, and choose specific fields of study. That is when it is proper for a person to specialize in one specific subject; in other words, major in something they are attracted to. In the end they are going to have to live with what they choose for the rest of their lives, and that is why they have to choose something they truly love.
	In conclusion, to have a broad knowledge on an academic subject, or to specialize in another are all equally important. You have to get a broad education first, and then narrow it down to what comforts you most. It is like, watching the rain fall, and then waiting for the rainbow to appear. From the first word a child learns at home to the last book this person reads, each and every stage in that persons life is important. 
","To have broad knowledge of many academic subjects is to learn many things in different fields of study. To specialize in one specific subject is to look at one thing from one point of view. In my opinion, it is better to have both of them as a part of your academic development, and they are both equally important. What truly happens in every person's academic development is that this person goes through different equally important stages. In the first stages of a child's life, this child learns how to speak, and then he or she learns how to write. This is general information that everyone should start with at the beginning of their academic life. Then comes school, whatever, or wherever this person gets their education is all called school; Although, there are some differences that occur at the level of that education. In school, people are taught all the essentials of life, and a broad knowledge of many academic subjects, including different sciences, mathematics, arts, music, and languages. These are the foundations each and every one of us need in our life. As school education comes to an end, different people start to specialize in different subjects of their interests. Later on in life, we are approached by university; by we, i am referring to people who are looking to pursue further education. University is where we are supposed to narrow our choices down, and choose specific fields of study. That is when it is proper for a person to specialize in one specific subject; in other words, major in something they are attracted to. In the end they are going to have to live with what they choose for the rest of their lives, and that is why they have to choose something they truly love. In conclusion, to have broad knowledge of an academic subject, or to specialize in another are all equally important. You have to get a broad education first, and then narrow it down to what comforts you most. It is like, watching the rain fall, and then waiting for the rainbow to appear. From the first word a child learns at home to the last book this person reads, each and every stage in that person's life is important. "
1718628.txt,P3,TEL,medium,"                    The given topic that young people nowadays do not give enough time to helping their communites is a controversial one.on one hand young people help their communities.on the other hand young people do not give enough time to help their communities.however finally i would like to go with young people do not give enough time to helping their communities.
                      In the present era most of the young people have become self centered and they are not  in a mood to know about the problems of the world.they are always seeking their own comforts.
for example consider that if robbers has entered into the neighbours house of a man and he comes to know that, first he is taking care of the valuables in his house rather than helping his neighbour.
nowadays the young people are lacking in the moral and ethic values.they have become worse than the birds.i.e.if a crow is died or wounded then large number of crows gather at that place and shout,but when it come to people if a person met with an accident on a road most of them are passing as if they dont see that incident.They are not even calling the ambulance.instead of this they may comment that it is his recklessness.
                     According to me this system has to change,each human should help others.One person has to help atleast three persons in his life and instead of seeking thanks from them that person has to ask those three individually to help three others .now nine people has benifited and these nine has to help to three others each individually.Like this if the chain has followed the the society will change and all the human beings can live hapilly.
                     The conclusion is that man is a social animal.he will depend on others some time. if he helps others only the others will help hin in his necessities.So the young people has to spend time to help others and his communities because he is going to rule the world some day. 
 
","The given topic that young people nowadays do not give enough time to helping their communities is a controversial one. on the one hand young people help their communities. on the other hand young people do not give enough time to help their communities. however finally i would like to go with young people who do not give enough time to helping their communities. In the present era most young people have become self centred and they are not in a mood to know about the problems of the world. they are always seeking their own comforts. for example consider that if robbers have entered the neighbour's house of a man and he comes to know that, first he is taking care of the valuables in his house rather than helping his neighbour. nowadays, young people are lacking in moral and ethical values. they have become worse than the birds. i. e. if a crow dies or is wounded then a large number of crows gather at that place and shout,but when it comes to people if a person is met with an accident on a road most of them pass as if they dont see that incident. They did not even call an ambulance. instead of this they may comment that it is his recklessness. According to me this system has to change,each human should help others. One person has to help atleast three people in his life and instead of seeking thanks from them that person has to ask those three individually to help three others . now nine people have been benefited and these nine have to help three others each individually. Like this if the chain follows society will change and all human beings can live happily. The conclusion is that man is a social animal. he will depend on others sometimes. if he helps others only the others will help him in his necessities. So young people have to spend time helping others and their communities because they are going to rule the world some day. "
1206804.txt,P1,TUR,medium,"The department I am currently studying has the policy to encourge all the students to specialize on finance or marketing. The logic behind is that  you can not make smart choices if you have less and broad knowledge in a specific topic. I totally agree with the idea that focusing is better. Because I believe that you can not talk or make comment about every topic in the world and to specialize encourges you to learn more and makes you love the topic.
Firstly having broad knowledge of many academic subjects only gives small opinions about them and one can not know the details. Therefore the ability to make comment on the subject and talking about the issue becomes impossible. For instance someone who watched only the teaser of a film only can tell one or two sentences. However a person who watched the film and read many things from the magazines about the film can make comments or discuss about the film. Thus the people having less about a topic have not the right to discuss about this issue and can not be able to make smart comments.
Secondly knowing a lot of things about an issue encourge to learn the topic more and makes love the topic. Because the beauty hides in the details. When I start to learn about a topic it always seems to me very boring and hard to understand. However after passing this point and coming to the details I find this subject more interesting because I start to understand. Thus knowing the details make the subject important for me/ 
To sum up because the policy of my university I am used to focus rather than having broad knowledge. 	I would like to specialize in one specific subject because of two reasons. The first reason is the ability to make comments and discuss bout the issue. The second reason is that details make me love and encouge me to learn about it. Focusing is always better than know less but about many subjects for me.    
","The department I am currently studying has a policy to encourage all the students to specialize in finance or marketing. The logic behind it is that you can not make smart choices if you have less and broad knowledge in a specific topic. I totally agree with the idea that focusing is better. Because I believe that you can not talk or make comments about every topic in the world and specializing encourages you to learn more and makes you love the topic more. Firstly having broad knowledge of many academic subjects only gives small opinions about them and one can not know the details. Therefore the ability to make a comment on the subject and talking about the issue becomes impossible. For instance someone who watched only the teaser of a film can only tell one or two sentences. However a person who watched the film and read many things from the magazines about the film can make comments or discuss the film. Thus, people having less about a topic have not the right to discuss this issue and can not be able to make smart comments. Secondly knowing a lot of things about an issue encourages learning the topic more and makes love the topic. Because beauty hides in the details. When I start to learn about a topic it always seems to me very boring and hard to understand. However after passing this point and coming to the details I find this subject more interesting because I start to understand. Thus knowing the details makes the subject important for me To sum up because of the policy of my university I am used to focusing rather than having broad knowledge. I would like to specialize in one specific subject for two reasons. The first reason is the ability to make comments and discuss the issue. The second reason is that details make me love and encourage me to learn about it. Focusing is always better than knowing less but about many subjects for me. "
1090891.txt,P2,JPN,medium,"In general, young generations enjoy their life more than older generations do. This is because young people have knowledge or skills to adopt now. Older people are difficult to do that. But, the older people had the time to adjust world, and they must have enjoyed at that time. So, I agree that young people enjoy life than older people do.
    In fact, I am in yong generation right now. I, of course, enjoy my life. Going to school, exrcising body and exploring new world are all enjoyable for me and other young people. For doing them, pioneer spirits, health bodies and motivation for getting new things are required. However, it is heavy tasks for olders. Among them, some people are still have those powers, but most people tend to be less motivated. For example, my grandmother does not want to do anything except for her rutines which are to take care of household or talking to only similar people in days. One time, I asked her to travel with my family. But, she refused even if she was very healthy. She just did not want to leave her house and nomal enviroment she spent with. 
    On the other hands, we young people do not be afraid of new life or enviroment because we have a lot of dreams for new world. It makes us more enjoyable than the olders. I think that the olders ought to have interests to enjoy their life. It might help them to suit society and public. If they do not do that, only thing they have is that they spend rest of their life unhappy or boring. To avoid this situation, they should try to have interests.","In general, younger generations enjoy their life more than older generations do. This is because young people have knowledge or skills to adopt now. Older people find it difficult to do that. But, older people had the time to adjust to the world, and they must have enjoyed it at that time. So, I agree that young people enjoy life more than older people do. In fact, I am in the young generation right now. I, of course, enjoy my life. Going to school, exercising my body and exploring new worlds are all enjoyable for me and other young people. For doing them, pioneer spirits, healthy bodies and motivation for getting new things are required. However, it is a heavy task for olders. Among them, some people still have those powers, but most people tend to be less motivated. For example, my grandmother does not want to do anything except for her rutines which are to take care of the household or talking to only similar people ondays. One time, I asked her to travel with my family. But, she refused even if she was very healthy. She just did not want to leave her house and the normal environment she spent her time in. On the other hand, we young people do not be afraid of new life or the environment because we have a lot of dreams for a new world. It makes us more enjoyable than the olders. I think that the olders ought to have interests in enjoying their life. It might help them to suit society and the public. If they do not do that, the only thing they have is that they spend the rest of their life unhappy or bored. To avoid this situation, they should try to have interests. "
466340.txt,P7,ARA,medium,"	Every one knows that when we are learning we learn facts and ideas. No one in the world can change the facts becusae facts are facts. Some people just like to know the fact and they do not pay attetion to other ideas. In my case, I strongly beilive that understanding ideas is more important for students that understanding facts. I think like this beause of many aspects which are a good way to learn how to respwct others, makes you creative and makes you persuisve. 

	First, understanding ideas opens very good and big ways of thinking. It makes you think and respect other's opinions. If we look at facts, we will find that most of thefacts were just ideas in the past and by disccuss them they becam facts.

	Second, trying to understand ideas is a good way to make your brain working. It makes you creat new ideas and new opinons. On the other hand, understanding facts is like open your mind, put things in it and close it. 

	Third, understanding ideas led you to the facts. I beilive that  most of the facts are coclusions for ideas. If you understand the idea you can easly figure out the fact. I think understanding ideas teaching us how to be a persuisve person because when you are trying to get a results from an idea, you are following certain and clear steps. This certain way of thinking can appears on your personality. 

	Finally, I belive that understanding ideas is very important but also we can not say understanding facts is not important. We should know the main and important facts of every thing. On the other hand, we do not o make understanding facts our way of learning and thinking. I beilive of that because of many aspects which are a good way to learn how to respect others, makes you creative and makes you persuisve.  

	
","Every one knows that when we are learning we learn facts and ideas. No one in the world can change the facts because facts are facts. Some people just like to know the facts and they do not pay attention to other ideas. In my case, I strongly believe that understanding ideas is more important for students than understanding facts. I think like this because of many aspects which are a good way to learn how to respond to others, it makes you creative and makes you persuasive. First, understanding ideas opens up very good and big ways of thinking. It makes you think and respect other people's opinions. If we look at facts, we will find that most of thefacts were just ideas in the past and by discussing them they become facts. Second, trying to understand ideas is a good way to make your brain work. It makes you create new ideas and new opinions. On the other hand, understanding facts is like opening your mind, putting things in it and closing it. Third, understanding ideas led you to the facts. I believe that most of the facts are conclusions to ideas. If you understand the idea you can easily figure out the fact. I think understanding ideas teaches us how to be a persuasive person because when you are trying to get a result from an idea, you are following certain and clear steps. This certain way of thinking can appear in your personality. Finally, I believe that understanding ideas is very important but also we can not say understanding facts is not important. We should know the main and important facts of every thing. On the other hand, we do not make understanding facts our way of learning and thinking. I believe that because of many aspects which are a good way to learn how to respect others, it makes you creative and makes you persuasive. "
1197988.txt,P2,ARA,medium,"   In my opinion young people enjoy life more than old people do for many reasons. A young person can do a lot of thing because he is physically halthy, can do a lot that old's can not do and because he is young and no one will look at what is he donig.
   A lot  of people think that old people are enjoy the life more than young because they think they have experiance in life. They think that this experiance will make them happy because they no what to do to be a happy person. This may not be a good idea because even if old people have an experiance they will not be able to use this experiance. They become old and harmfull. They will not be able to do every thing.
   As a young person I can do a lot of things. there are many hapits to do in the daily life. A young person can go running, play football, drive a race care and play a young people new electronic games. This will be hard to old person to do or it may be don't fit to an old person to do like electronic games.
   For most young people they like to do hard or dangeruce activities. Driving a race car in a real race can be very dangeruce for an old person he may get a hard attack. Other thing that is young people can make a plannes for the fucure, they have the time that olds don't have.
   Finally, a young person can enjoy life more than old can do. He have the ability, the advantege and the time. For all old people they must have taken a young period and enjoy it. So that it is time for the new generation.
","In my opinion young people enjoy life more than old people do for many reasons. A young person can do a lot of things because he is physically healthy, can do a lot that old people can not do and because he is young and no one will look at what he is doing. A lot of people think that old people enjoy life more than young people because they think they have experience in life. They think that this experience will make them happy because they have no idea what to do to be a happy person. This may not be a good idea because even if old people have experience they will not be able to use this experience. They become old and harmful. They will not be able to do every thing. As a young person I can do a lot of things. there are many habits to do in daily life. A young person can go running, play football, drive a race car and play young people's new electronic games. This will be hard for an old person to do or it may not be suitable for an old person to do something like electronic games. For most young people they like to do hard or dangerousactivities. Driving a race car in a real race can be very dangerous for an old person he may get a hard attack. Another thing is that young people can make plans for the future, they have the time that old people don't have. Finally, a young person can enjoy life more than an old person can. He has the ability, the advantage and the time. For all old people they must have taken a young period and enjoyedit. So it is time for the new generation. "
1184947.txt,P8,FRA,medium,"""Where there is a will, there is a way"", this may be the successful people's favorite sentence, and may be the key of their success.

As a matter of fact it is by willingness that they have reached their goals, and having goals, dreams is already risky. Sometimes to achieve one's dream it implies that you will have to go further than your natural borders. Success goes with risk, if you do not try to do anything, and then stay with what is securing for you,  you will never be successful.
If you are already successful it will be easier for you to try plenty of new things, because you are sure of what you have already achieved. We can take the example of the President of an international company, he is setting up numerous businesses in many different sectors (such as Megastors, sodas, Aircrafts etc.), he knows what are his company competencies but he still is looking forward to create something new. Even if one or two of his new start ups fail, he will have the others to secure his position.
However, I assume that they really know what they are doing, they are not planning things that they know, they will not be able to keep. They do take risks or try new things, but they are also aware of what they can do, of what they know, and therefore, they are not risking so much in what they do.

Successful people certainly have a lot of confidence on what they can do, and in their qualities, thus they will be able to reach their own ambition in life at any price. But they are smart enough to know when and where to stop, they may take more risks but these are known and controlled. And perhaps this ambition gives them the interest in going always further.
","""Where there is a will, there is a way"", this may be the successful people's favorite sentence, and may be the key to their success. As a matter of fact it is by willingness that they have reached their goals, and having goals, dreams is already risky. Sometimes achieving one's dream implies that you will have to go further than your natural borders. Success goes with risk, if you do not try to do anything, and then stay with what is secure for you, you will never be successful. If you are already successful it will be easier for you to try plenty of new things, because you are sure of what you have already achieved. We can take the example of the President of an international company, he is setting up numerous businesses in many different sectors (such as Megastors, sodas, aircraft etc. ), he knows what his company competencies are but he still is looking forward to creating something new. Even if one or two of his new start ups fail, he will have the others to secure his position. However, I suppose that they really know what they are doing, they are not planning things that they know, they will not be able to keep. They do take risks or try new things, but they are also aware of what they can do, of what they know, and therefore, they are not risking so much in what they do. Successful people certainly have a lot of confidence in what they can do, and in their qualities, thus they will be able to achieve their own ambition in life at any price. But they are smart enough to know when and where to stop, they may take more risks but these are known and controlled. And perhaps this ambition gives them the interest in going always further. "
605993.txt,P5,FRA,medium,"The issue that in twenty years the number of cars in use will raise or drop is difficult to deal with because there are different arguments involved. Some people think that there will be fewer cars because of the environmental impact in wich the use of cars is sued. On the contrary the increase of the number of cars in use can be partly justified because the number of inhabitants on earth is still raising very fast.

Most importantly, rejecting CO2 cars are responsible in a wide proportion for the atmosphere pollution. Every body knows the consequences of a high grade of CO2 in the atmosphere; warmer temperature, climate changes and so on. So most of the governments, acting for the well being of its citizens, are writing new laws and inventing new solutions tending to reduce the use of cars. For instance, in paris, during the summer, only the pair or unpair  patterns number are allowed to circulate.

Secondly, we can stress the lack of petroleum or gas resources today, and the raise of pump prices. As cars are big users of petrol, their utilisation involve that car owners have the financial power to pay it. As the resources are not eternal and prices are getting higher and higher, it seems as an evidence that the number of users will decrease in the next twenty years. 

Another important argument would be that the automotive industry is very big enrgy consumer. Indeed, to make a car requires lots of products such as platsics or iron wich consumes a lot of energy to get in available form. Then the assembly chains, mostly composed  by automatic machines consumes also a lot of energy. So, in the next years, governments will probably realise that  providing very efficent popular transports would have a good impact on the country energy consumption.

To conclude, my strong belief is that even if the populattion is growing all around the world, the trend of environmental legislations in the prevalent car using countries will be to decrease the production and the traffic of this type of vehicles in the next twenty years.
","The issue that in twenty years the number of cars in use will rise or drop is difficult to deal with because there are different arguments involved. Some people think that there will be fewer cars because of the environmental impact in which the use of cars is sued. On the contrary the increase in the number of cars in use can be partly justified because the number of inhabitants on earth is still rising very fast. Most importantly, rejecting CO 2 cars is responsible for a wide proportion of the atmospheric pollution. Every body knows the consequences of a high level of CO 2 in the atmosphere; warmer temperatures , climate change and so on. So most governments, acting for the well being of theircitizens, are writing new laws and inventing new solutions tending to reduce the use of cars. For instance, in paris, during the summer, only the pair or unpair patterns number are allowed to circulate. Secondly, we can stress the lack of petroleum or gas resources today, and the rise in pump prices. As cars are big users of petrol, their utilisation involves that car owners have the financial power to pay for it. As the resources are not eternal and prices are getting higher and higher, it seems as an evidence that the number of users will decrease in the next twenty years. Another important argument would be that the automotive industry is a very big energy consumer. Indeed, making a car requires lots of products such as plastics or iron which consume a lot of energy to get in an available form. Then the assembly chains, mostly composed of automatic machines, also consume a lot of energy. So, in the next few years, governments will probably realise that providing very efficient popular transport would have a good impact on the country's energy consumption. To conclude, my strong belief is that even if the population is growing all around the world, the trend of environmental legislation in the prevalent car using countries will be to decrease the production and the traffic of this type of vehicle in the next twenty years. "
729948.txt,P7,HIN,medium,"I certianly, disagree with the statement that it is important for students to understand ideas and concepts than learning facts, As we know that we cannot creat a wall without a base. Therefore learning the concept and theory behind it is very important.

  Concepts will automatically show the facts in the future. For instance, if I want to learn a new language then I will first learn alphabets. I will learn them to pronunce and even to write. Pronucing and writing letter will introduce me the facts of the language. How hard it is to learn? and  how easy it is? 

 Implementing the ideas practically will show you the facts and results. First we will learn what color will be produce  when mixing it with the other color. For instance, we will learn in book yellow plus blue turns green. Now, in order to learn the fact of this idea we will do it practically and we will find it true. This is how it is important to have  an idea before implementing it. 

 After learning principles and theories  from books and expertise, we find them in field whether they were true or not.  We learn facts through experience and it keeps changing. However, concept doesn't change.

Therefore, it is important for students to learn fundamental skills and basics then start learning fact. 
","I certainly, disagree with the statement that it is more important for students to understand ideas and concepts than learning facts, As we know, we cannot create a wall without a foundation . Therefore learning the concept and theory behind it is very important. Concepts will automatically show the facts in the future. For instance, if I want to learn a new language then I will first learn alphabets. I will learn them to pronounce and even to write. Pronouncing and writing a letter will introduce me to the facts of the language. How hard is it to learn? and how easy is it? Implementing the ideas practically will show you the facts and results. First we will learn what color will be produced when mixing it with the other color. For instance, we will learn in book yellow plus blue turns green. Now, in order to learn the facts of this idea we will do it practically and we will find it true. This is why it is important to have an idea before implementing it. After learning principles and theories from books and expertise, we find them in the field whether they were true or not. We learn facts through experience and it keeps changing. However, the concept doesn't change. Therefore, it is important for students to learn fundamental skills and basics then start learning facts. "
1831328.txt,P7,TEL,medium,"In the present world as their is a rapid change in the development in student in all the aspects  i.e  in IQ,sports,information technology, electornics,media and many other fields and more over in school studies. The students main aspect of learning things is by understanding the facts beside it and the other way is to understand the ideas and concepts about it.
         In olden days student used to learn things by learning the facts about the things which they are going to learn, As it certainly takes more time to learn a particular subject as they i has to know what actually the subject is and how it is going to work, but it is time consuming thing to learn a particular subject.
       while coming to learning subject by knowing or understanding the ideas and concepts about the subject is the better way how to students understand about the subject and solve them easily.
      let us consiber an example to solve an mathematical problem to find the area of the given triangle,which is given to two
 different students in the class, who can solve the problem by knowing the facts and the other   student who understand ideas and concepts of the problem. response who knows the facts of the problem and the student who understand about the ideas and concepts. The student who know the concepts and idea about the triangle can do better and fast by using the formula of the triangle, but the student who known about the basics i.e facts about the triangle will take more time.
         In this developing and competional world one should be more effecient and more faster to survive in their life. so in my opinoun the student who understand ideas and concepts is more important than the students who learn facts so as to face different compitative exams which are likely to held in every part of the life, where they test only the output of the student rather than how much he knows about facts
","In the present world, there is a rapid change in the development of students in all aspects i. e in IQ,sports,information technology, electronics ,media and many other fields and more over in school studies. The students' main aspect of learning things is by understanding the facts beside them and the other way is to understand the ideas and concepts about them. In the olden days students used to learn things by learning the facts about the things which they were going to learn, As it certainly takes more time to learn a particular subject as they have to know what the actual subject is and how it is going to work, it is a time consuming thing to learn a particular subject. while coming to learn a subject by knowing or understanding the ideas and concepts about the subject is the best way to teach students about the subject and solve them easily. let us consider an example to solve a mathematical problem to find the area of a given triangle,which is given to two different students in the class, who can solve the problem by knowing the facts and the other student who understands the ideas and concepts of the problem. response who knows the facts of the problem and the student who understands the ideas and concepts. The student who knows the concepts and idea about the triangle can do better and faster by using the formula of the triangle, but the student who knows the basics i. e facts about the triangle will take more time. In this developing and competitive world one should be more efficient and faster to survive in their life. so in my opinion the student who understands ideas and concepts is more important than the students who learn facts so as to face different competitive exams which are likely to be held in every part oflife, where they test only the output of the student rather than how much he knows about facts"
908592.txt,P2,KOR,medium,"Basically I agree that young people enjoy life more than older people do.

What do you think the meaning of 'enjoy'?
Young people can enjoy more kinds of sports than old people do because their physical condition allows more chance to do like snow board, motorcycle, mountain climbing, sky diving which are need more wild actions and physical abilities.  No one can say old people can enjoy these sports too. 
The sports is one of the most important way of enjoying our life.

Furthernore old people are much more conservative than young people when they challenge something new in their life.  
For example, they have to consider their family and company before challenging new things.  However young people feel more free to launching new things.  They are much bravier than old people so that they can experience more about new world eventhough they fail sometimes.  That is o.k for young people because they have plenty of time to recover their fail or mistakes.

Therefore, Young people can enjoy life more than old people.
I didn't mean old people cannot enjoy life but they have more restriction than young people. 
","Basically I agree that young people enjoy life more than older people do. What do you think the meaning of 'enjoy' is? Young people can enjoy more kinds of sports than old people do because their physical condition allows them more chances to do things like snowboarding, motorcycle riding, mountain climbing, sky diving which need more wild actions and physical abilities. No one can say old people can enjoy these sports too. Sports are one of the most important ways of enjoying our life. Furthermore old people are much more conservative than young people when they challenge something new in their life. For example, they have to consider their family and company before challenging new things. However young people feel more free to launch new things. They are much braver than old people so that they can experience more new world events even though they fail sometimes. That is o. k for young people because they have plenty of time to recover from their failures or mistakes. Therefore, Young people can enjoy life more than old people. I didn't mean old people cannot enjoy life but they have more restrictions than young people. "
