essay_id,topic,context,sentence,label
1076677.txt,Young people enjoy life more than older people do.,"I partially agree with the given statement that ""young people enjoy life more than older people""because young people enjoy life by playing with friends,by watching thelatest movies,by going to colleges,by teasing younger people etc. where as older people enjoy life sitting at home,chatting with the people surrounding them,going to piligrim places etc. Younger people now a days have a lot of fun life to have for example if we consider the case of my brother he enjoys a lot. he goes to college on a bike,he meets friends every day in the evening,he will have a big chat with them about the movies,he then goes to his classmates' house to have a fun time with them about the funny things that happened on that day,finally he comes home and has a good meal and then he goes to sleep. If we take the case of older people they have work to be done,for example if we take the case of my grand mother she is quite relaxed,she usually gathers the other people and she starts chatting the whole day it is a kind ofentertainment for her,she watches old devotional movies with them and enjoysfeeling about god,some times she used to go to piligrim places like tirupathi,shirdi etc.","she used to eat the food she wasinterested in ,she used to spend money as she wished.",1
993195.txt,Young people enjoy life more than older people do.,"LIFE IS LIFE! Young people enjoy life more than older people do. I don ` t agree with this sentence. Because some old people are young , so they enjoy life. Also all ages have different surprises in life. When people are young, they can enjoy life so much. First of all, everyone must enjoy life every age, other wise you can bore in life. But when you are young, you can enjoy life more than everybody else. Because you want to try everything in the world. You want to go everywhere with your friends. When you are young, you have lots of energy to do something, you want to live life, you want to see everything. Sometimes you can learn some lessons about life. It can be good or It can be bad for you. Also, when you make lots of things, I will look for extra things. You want to live in city life. You can go to bars, cinemas, restaurants. like lots of things. Also you want to earn lots of money to buy expensive toys, because this is life. But in ages you will be an old man or woman. You can live lots of things but without something. Because in the first paragraph I told you. Life has something in every age for you. when you become old. You can enjoy life. Maybe you dont like city life, you can move to the seaside or a little town. You can grove your fur, or you can play with your daughters. When you become old, it doesnt mean life is ending. That was the reason you can do lots of things when you become old.",But not extraneous things because you wont afford them.,1
753065.txt,"In twenty years, there will be fewer cars in use than there are today.","The speed of development concerned technique is so fast today, and more and more speculate about what will happen in 20 years. Some of them believe that there will be fewer cars in use than there are today. However, I am hesitant to agree with the statement, and the reasons are listed below. Let us have a look at the increasing wealth brought by globalization, we will agree that people will be more fortunate than they have ever been. The increasing money will be spent on some goods which seemed to be luxury before, including cars. Take China as an example, more and more families boast cars now, which was a miracle to them before.","If we pay some attention to the soaring earnings of people in Africa today, we all agree that the conclusion is that they tend to buy more cars just like what the Chinese are doing today.",1
1774785.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,I strongly disagree that students should understand ideas and concepts rather than learn facts.,"Currently, A lot of people do nt have a lot of time as much as a long time ago.",1
184250.txt,Successful people try new things and take risks rather than only doing what they already know how to do well.,"Success means inventing new things , which can be done by experiments and taking risks. It's not only restricted to successful people rather than to all people who are failures too. As success comes only by experiencing opposite results. It will be a new experience if we take risks and invent new things. This boosts our confidence and gives us a new experience. I agree that successful people try new things rather than doing what they already knew. Firstly successful people try new things because as they already tasted success in their life this gives confidence to work more by taking risks. Scientists are good examples of taking risks and trying new things. If scientists didn't try new things then we would nt be able to access the inventions which they made like pencillin, steam engine by james watt , aeroplane by William brother and so on. Secondly people try new things in which they get new experience. If a person is doing a know work for the past few years this not only makes him bored but also loses his interest in that work. While experimenting with new things we can get more knowledge in the subject which gives us soul satisfaction.","Today we recognise scientists by their works , but we don't recognise a daily worker in a factory.",1
698140.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"In my opinion, understanding ideas and concepts is very Important. The subject like java, we can know the knowledge of java by understanding the ideas and concepts. concepts are more Important than facts. By studying the facts like sun microsystems invented java,we can't understand the features ofjava. we can also learn by something hearing and studying the facts. facts can also Improve knowledge. By studying the facts like Independence we should know about the great leaders of our country ,and we should know about how they will work hard for Independence. History will tell about this. So learning the facts was Important. By studying the facts the children can learn about the honesty, reliability , and history of the country. Everyone should know about the history of the country.",By learning the facts we can prevent wars like the second world war and the first world war.,1
622011.txt,Successful people try new things and take risks rather than only doing what they already know how to do well.,"People have different ideas about whether success is to create new things or to do usual work. Doing what we already know how to do well doesn't make you different and does not make you happy comparing yourself with creating new things. I strongly agree that success is to create new things and take risks for several reasons. First of all, it is a great thing to be popular and different than others. For example, if some body creates a treatment for Canser and another one does his regular work who will succeed?. Ofcourse the first one because he creates new things which help sick people. So this person must be famous and every body will not want to work with them. In addition, you can not be a real successful person if you take risks and adventures. A person has to love his work to create new things and to succeed indeed. By taking risks you learn new useful things that help you in your life.",My brother was in a running race and he not only won but also created a new personal best.,1
266989.txt,Most advertisements make products seem much better than they really are.,"Imagine your life without Air?. Advertisements like air for businessmen. The man has millions of dollars, he should do any thing to keep his money by using advertising. I strongly believe that most advertisements make products better than they really are. First, the main factor that the advertisement is good is that it shows a low price to attract the audience. Alot of businessmen try to attrack the audience. For example, they try to give the lowest price with anew package. I remember one man. He works for a small company. he was a very hard worker.",He tried to buy his cat.,1
328055.txt,Most advertisements make products seem much better than they really are.,"Some people think that most advertisements don't make products seem much better than they really are because some people think the appearance of products is more important than the quality of the products. However, in my opinion, I think most advertisements make products seem much better than they really are. There are three following reasons which can prove and give more examples for my personal opinion. The most important reason I think is that advertisements know what consumers think when theyare shopping. The outside of looking of products is the most important point people will think about buying the products. Therefore the advertisements spend more time designing what kind of look better for products then the time which they spend designing the inside of products. These points can help companies to get more money because they dont have to spend too much time on the inside of product design, and customers feel interested in products coming, so they buy them. Producing inside of products easier than making good design for outside looking is the second important reason which I have chosen to put here.",I was doing a research paper which is about disguising how many times people usually spend on designing a new car.,1
1090891.txt,Young people enjoy life more than older people do.,"In general, younger generations enjoy their life more than older generations do. This is because young people have knowledge or skills to adopt now. Older people find it difficult to do that. But, older people had the time to adjust to the world, and they must have enjoyed it at that time. So, I agree that young people enjoy life more than older people do. In fact, I am in the young generation right now. I, of course, enjoy my life. Going to school, exercising my body and exploring new worlds are all enjoyable for me and other young people. For doing them, pioneer spirits, healthy bodies and motivation for getting new things are required. However, it is a heavy task for olders. Among them, some people still have those powers, but most people tend to be less motivated.","For example, my grandmother does not want to do anything except for her rutines which are to take care of the household or talking to only similar people ondays.",1
263985.txt,Young people nowadays do not give enough time to helping their communities.,"I disagree with this statement. This statement isn't true for all young people. In my church community there are many young people beside me who enjoy helping. I have been a scout leader for four years. I give my free time to care for children, to think about games which I can play with them and to help them if there is any problem. I dont get any money for this, I do this because I like it and have fun almost always. Of course there are situations where I am nervous and tired of entertaining children, but all bad emotions vanishes if you can make these kids happy. So it depends on the education and the surroundings of a young person, whether he (or she) is willing to help his (or her) community. Not all people have this social ambition that I have. I can imagine there are people who only want e.",g.,1
263612.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"Through my experience, I can say that this statement is right. Take math for example, during my high school days, I had to answer lots of questions. A math teacher explained the concepts first, and then made us answer questions. If I could understand the concepts, it was not difficult to answer the questions. So when I studied other subjects such as chemistry and physics etc. I applied the same method, that is, understanding the concepst, first. Here is another example.","In terms of parenting, especially money related, I think good parents are not the people who can give big money to their children but teach them how to make money.",1
221642.txt,Most advertisements make products seem much better than they really are.,"We are living in a particular period; we are being hitten by advertisements: when we walk along the street we can count a big face with the same product on his/her hands, or when we are listening to the radio we can listen to a particular voice that tries to convince us to buy something, when we switch on the tv there is always some spot with funny music. In each place, in each situation we are covered by advertisements. It is easy to ask ourselves if the products that are presented are so brilliant. I think that a lot of the time it is so: most advertisements make products seem much better than they really are. I can say this for different reasons, first of all because the objective of the company is to sell their products, and so they use all the methods that are necessary to convince people to buy them. Second because a lot of time people buy a particular product not for its quality but only for its mark. For example we can think about food: what are the differences between one biscuit to another? A lot of the time the difference is the price: the product that is well-known is more expensive than the other, but if we taste the quality we can' t understand the difference because they are equal. Another example that I could consider is about clothes. There are a lot of people that want to wear only one type of, for example, trousers because there is a little spot on them. Probably it is only to be fashionable, but this traffic, which costs a lot, isn' t different from another. The last consideration that I can do is that advertisements hit our unconscious attitude and so a lot of the time we choose products that are published in an unconsciously way.",I.,1
321175.txt,Most advertisements make products seem much better than they really are.,"Most advertisements make products much better than they really are except tobacco and medicine advertisements. In tobacco advertisements, they always express bad images of tobacco. Outside the package of tobacco, they write about concern about cancer with tobacco. In the advertisements for tobacco, we can see bad images of tobacco, but many smokers don't stop smoking in spite of these advertisements. My friends watch these advertisements for tobacco everyday, but keep smoking. The advertisements for medicine have a restriction, so a medicine company can't use an expression which tells more effects than it really are. But about other products besides tobacco and medicine, most advertisements make products seem much better than they really are. In the TV commercials, beautiful women and handsome men use these products in sophisticated places happily. And also we can listen to fun commercial music which makes the images of these products better. Sometimes famous movie stars appear in the commercials and tell us how these products are great and useful. There TV commercials are broadcast on TV several times a day, and finally we remember the names of these products unconsciously. Advertising companies try to make commercials which impress good and strong images of these products to customers. In Japan, commercials with comedy touch are fashionable. In these advertisements , famous comedians say funny words to impress the product customers during the commercials Customers unconsciously remember the funny words.",Children tell the funny word in their school and laugh with friends.,1
1741422.txt,Most advertisements make products seem much better than they really are.,"With the above made statement, i fully agree for the following reasons: The best example would probably be the tobacco advertisements shown on TV, in the cinema or as large posters at bus stops. Nobody can say that smoking is healthy or makes you feel free, but a certain brand tries to provoke this picture by showing landscapes, cowboys and horses. Another example is the food industry- what they say to be healthy often turns out to be theopposite, if you only have a close look at the ingredient list printed on the back. But often people don't even realize what they are consuming after having taken a close look at it because they don't have the knowledge to interpret the meaning of what they read. Of course not everybody is a doctor or pharmacist and is aware of the danger that certain things might cause our health. And that is one of the points I really think is unfair from the producing firms. To sell bigger quantities of their product, they willingly make people believe wrong things. Especially for children those advertisements might be dangerous as they even know less about what healthy and unhealthy substances can do to your body. They just want to do, have, eat or drink everything they are told is good, brandnew, cool. And so do their friends. Concluding my essay I would like to outline that of course this is not the case for every product or even 'most' as is written in the statement. It would be unfair to declare advertisements to be generally false, dishonest or dangerous.",There definitely are advertisements which state the truth about their product! Many adversitements even show a horrible content and can be really amusing.,1
98215.txt,Young people nowadays do not give enough time to helping their communities.,"I do not agree with this statement. I think there are a lot of young people that help his community and spend a lot of their time on it. For example there are some volunteers in many places: in hospitals, in centers for old people. and so on. I know some people who work for the ambulance: they are volunteers who stay, some times also all night, at the ambulance to give their help in case of need, and the day after they are in office to work. There are also some girls I know who give their help to centers where old people stay because they seek or need help. These girls have a big sense of responsibility for helping others, I think. Moreover, my cousin is always around the community of her church (she is very religious) to give her help to guide and educate children. In her blood and heart there is the force to do this. She tells me she feels much better when she helps the neighbours. I talked about some people I know, but I didn ` t say anything about myself. That`s why I have never done anything for my community.","This is because I ` ve never had the occasion, or because I don`t think I would be able to give help without anythingin change.",1
965186.txt,"In twenty years, there will be fewer cars in use than there are today.","I agree with the opinion that there will be fewer cars in use than there are today in twenty years. One reason is the oil is limited and it gets less and less recently. And the now energy such as sunshine is not able to take the part of oil. We may have a lot of difficulty solving the energy problem. After twenty years oil could not be enough to apply to all the cars we have, so apart from people having to choose another way for traffic. Or more people choose the electric train to go to work or study. Another reason for this is that people could not have to be in the office to work in the future. Now more and more people choose the way to at home. The internet is changing our world, we can have a meeting on the internet easily and make a report and send it to the office by mail. because of this a lot of people don't need to drive to the office every day and even some people don't need a car at home. The traffic has not stopped changing its style in history.",We can imagine that may be in the future people will find some more useful ways for traffic such as personal planes.,1
98215.txt,Young people nowadays do not give enough time to helping their communities.,"I do not agree with this statement. I think there are a lot of young people that help his community and spend a lot of their time on it. For example there are some volunteers in many places: in hospitals, in centers for old people. and so on. I know some people who work for the ambulance: they are volunteers who stay, some times also all night, at the ambulance to give their help in case of need, and the day after they are in office to work. There are also some girls I know who give their help to centers where old people stay because they seek or need help. These girls have a big sense of responsibility for helping others, I think. Moreover, my cousin is always around the community of her church (she is very religious) to give her help to guide and educate children. In her blood and heart there is the force to do this. She tells me she feels much better when she helps the neighbours.","I talked about some people I know, but I didn ` t say anything about myself.",1
1584909.txt,"In twenty years, there will be fewer cars in use than there are today.","Cars are something which were earlier considered as a luxurious mode of transport. but now a days they are more convenient and necessary modes  of transport. As time is changing may be the automobile company will have new options for the buyers. I partially agree with the statement that in twenty years there will be fewer cars in use than there are today. because india is still a developing country. those who have developed successfully might have options. india has to raise its economy. there are people still staying on the foot path. according to me yes may be we wont be able to see small cars like santro,zen etc during that time The indian economy would definitely have raised people instead of using small cars would prefer to use big cars like benz or posh. nowa days we see an increasing rate of petrol and diesel use. people find it difficult to travel by autorishaws and cabs mainly because of heavy traffic and very important things the attitude of the driver makes it easy for them to have the habit of sayingno. but if one has his own conveyance he/she may travel easily. but yes as i said earlier, India will be developed in the near future. where there are possibilities of having one's own customized plane or other facility. Nowadays, the price of airline tickets has gone down. its become cheaper and now a days there are many flights going daily internationally as well as domestically. recently i visited madras my family preferred going by plane because it saves time and there was hardly any difference in the cost. now a days only people do not have time for their personal comments and that men are replaced by machinery.",may be twenty years down the line robbers and other machinery will replace man.,1
