essay_id,topic,context,sentence,label
1722823.txt,Young people enjoy life more than older people do.,"Young people and old people have different life styles. As far as I am concerned, young people have more methods of enjoying life than old people. In the following paragraphs, I will reason and provide examples to support my opinion. Young people are full of energy, which means that besides their studies and work, they have much more energy to have fun. Young people are normally in good health so they do not feel tired after work and havefun. At night, the dancing bars are full of young people. They dance, talk to each other and drink together. During the holidays, young people drive to the mountains or the sea shore to hunt , canoe or hike. Because old people need more time to recover from the tiredness of the work, they cannot spend as much time as young people on holiday travel. They normally stay at home and watch the TV or chat with their old friends. Young people have more new methods to enjoy life because their brains run faster than old people. Because there is a lot of pressure from the job, young people need more methods to remove the pressure otherwise their health will be damaged. Young people develop new methods everyday and then spread them all over the world. They practise new methods of entertainment and discuss them on the network. On the contrary, old people normally stick to a few kinds of entertainment for a long time and do not want to try new methods.",Old people know how to enjoy life and they have their methods of enjoying life.,1
1744381.txt,Young people enjoy life more than older people do.,"Yong people enjoy life more than older people do. I agree with this statement. Nowadays young people enjoy themselves well compared to in the old days. Because at this present time they have so many entertaining equipments and these all are not available in the olden days. And the world is developing rapidly. At a time, young people also worked hard to achieve their goals and to realise their ambitions. They are doing hardwork and enjoy it at a time. They separate their time for working and for enjoying themselves. Now these days so many young people are working for many great companies and corporate companies,then they all work weekly for five days for company and the remaining two days they are enjoyed with their friends and family. So young people also do hardwork but they make some schedule and follow that. Now so many young people are working for some company or worked for some institute,But these companies and institutes are built by old people. So old people work in their young days without enjoyment and without free time then they can run those institutes and companies.",From the above two sentences i can say that old people work harder than young people so with that reason they reached higher levels.,1
1916426.txt,It is better to have broad knowledge of many academic subjects than to specialize in one specific subject.,"Nowadays, the more the students are educated, the deeper knowledge they will have on their subject. However, some of them may have two majors. Which idea is good? In this essay, there are several reasons why I do not agree with having broad knowledge of many academic subjects. First of all, everyone has got the same time. In other words, the condition to have an amount of study may be the same for everyone. If you spend all your time on a specific subject, you can improve a lot rather than the person who spends his or her time on two subjects. This is because he or she should divide the time. Let us assume that there are two students and the same time is offered: A person who only does economics and B person who does economics and politics.","Compared with A person, B person would know more about politics.",1
1042567.txt,Young people nowadays do not give enough time to helping their communities.,"These days, young people do not give enough time to helping their communities. yes i agree with this. because the main point is they have no interest in helping others.",some young people are giving enough time to help their communities.,1
1624220.txt,Successful people try new things and take risks rather than only doing what they already know how to do well.,"Trying new things and taking risks is a good way to improve your skills and knowledge. you can have more benefits than only doing what you know. Therefore, successful people try new things and take risks rather than only doing what they already know how to do well. Trying to do new things will give you a lot of benefits. Also, it will improve your skills which will help you in your career. Moreover, you can try new things by studying and improving your education. one person who has the privilege of not having a career or a salary as one receives a high certificate. Taking risks can also make you a successful person. You can enter new projects, which will receive a lot of money from you. But, the new projects may not receive that money. This is the risk taking.",Successful person is the only person who can enter these projects.,1
1806306.txt,Young people nowadays do not give enough time to helping their communities.,"I agree that young people nowadays do not give enough time to helping their communities. There are three reasons in my opinion which led to the situation. First, there are too many amusing activities to do. New high-tech toys and recreations are being introduced to the teenager and keeping them stuck on those things. Big companies use strong advertising and free trails to make sure the potential consumers will not do anything else but spend time on the products. Moreover, interacting with friends takes most young people's time. All of these activities occupied every minute of them. Second, education from young people's parents does not give them the idea. To live in a competitive world, children are taught to learn knowledge as much as they can and give attention to other things as little as they can. Cram school is always the first and only choice for young people to hang around. They are told to keep their hands from things that are helpless to their grades. Due to this twisted concept, young people are not interested in community activities. Third, the media broadcasts negative examples which stop young people from taking action. People refuse to give time to helping their communities because of bad news.",A crazy person might hurt an unexperienced teenager while asking for help.,1
1009294.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"In an aspect of shot time,It seems more effective to learn facts than to understand ideas and concepts because we can see or realize how much information or how many facts we learned and knew.","However, I totally agree that it is more important for students to understand ideas and concepts than it is for them to learn facts because of the following 3 reasons.",1
718165.txt,Young people enjoy life more than older people do.,"We all hope that we want to enjoy our lives. Then this question comes to my mind, which enjoy life more, young people or older people? I think young people enjoy life more than older people. There are three reasons. First, young people have healthier bodies than older people do. Second, they have a longer time in the rest of their lives than older people do.","Third, older people tend to say that the younger the better.",1
1315961.txt,Young people enjoy life more than older people do.,"I do not agree with this statement because younger and older people have different ways to enjoy life. Life is not about age whether it is a young person or an older person, but instead about the symbolism of joy is a way of enlightening and bringing happiness. Younger people might think or have the idea that they are the only ones to enjoy life, but at what cost. Older people have the treasure of wisdom among knowledge, with a conviction of lots of experience, they have the mature and most important quality, patience.","I have seen older people enjoying life more then younger people, but also, comes to a cost of good health.",1
1005053.txt,The best way to travel is in a group led by a tour guide.,"Everyone wants to know about the world around him or her for better understanding of different cultural back groundsand also to explore new things. This unquenchable desire for humans not only leads him to travel to different places on the earth but also to other parts of the universe. In the fast moving era everything in the world is constantly changing ,especially when it comes to time. Having a proper timetable is the most valuable key to a better life. So inorder to save my precious time i surely go on a trip with a. tour guide. If we go to a new place,its better if we have any local person who can call us to tell us about the history of that place. Mostly locals know better than the scholars who did research into that place. Because they will get all the information from their elders. Not only that the tour guide can also take visitors to different parts of the place from forests to rich green agricultural areas. In this way visitors can explore from wild animals to small beautiful local birds. Secondly, a tour guide can show more places in less time.",Anyway it may take somuch time.,1
476573.txt,Young people enjoy life more than older people do.,"60% of people who work do not have time for entertainment because of their work. They can not do anything about this. So I think young people will enjoy life more because they have a lot of free time, they are healthier and they and they usually do not have children. The young people have a lot of free time, and their life will not be affected if they waste it. When I was in high school I usually did not study that much, and I always drove cars with my friends. I only study before those tests, and I usually get good grades. When we look at the health of a young man, it will be much better than an old one. In competitions we usually see young men and women win. once I ran with my father from our house to my grandfather's house. I was the first in that race, and after arriving I even waited for him.",young people usually have children and that will affect their normal life.,1
1450186.txt,Successful people try new things and take risks rather than only doing what they already know how to do well.,"I disagree with the statement that successful people do not try new things and they use their previous knowledge of what they have learned because they already know what to do with the task. One of the examples I can remember of this is that a girl who always sat with me in my lunch period. She always worked very hard and I could see that she was a successful person and also will be in the future from what I saw of her. One day when she was doing her homework in front of me, I could not even tell what she was studying since it seemed like a difficult thing to me, she asked me if I could understand the question asked in the homework. I told her it is impossible for me to figure out the problem she can't even figure out. So she asked me what she should do so I told her to ask her classmates and ask them what they had answered.",But she said no to that and said she is the smartest in the class and all the people are not very intelligent as she is so she can not take a risk.,1
200229.txt,Young people nowadays do not give enough time to helping their communities.,"I strongly disagree with this statement, as i do not see why it would be correct. It contains no arguments to support its claim.","Young people do give enough time to helping their communities nowadays, as they always have.",1
54939.txt,Most advertisements make products seem much better than they really are.,"With the rise of capitalism as the dominant economic system around the world, advertising has emerged as one of the key elements of the economy, especially in the 20th century. Producers use advertising as a way of introducing a product to the customer, creating meanings around it, in order to distinguish their products from the other similar ones on the market, to make them compatible and attractive to their customers. There are different ways of promoting a particular product. Topday the advertisement sector has developed a variety of ways in order to promote a particular product. One of them is the evaluation of the qualities of the advertised product. The purposes of the producers for advertising a product are not mainly to demonstrate the real characteristics of their products, but rather to be able to reach more customers and as many products as possible. However, this does not mean that all the advertisements are about a distorted picture of the products that they represent, What really counts for a successful advertisement is its ability to appeal to the customers. One advertiser can create such a distinctive style and tell the truth about the product and achieve success without illusion.","Provided that the advertisement is in nature about the biased presentation of a particular product, one cannot expect that an advertisement should be reflecting the true characteristics of a product compared to the others.",1
1226973.txt,It is better to have broad knowledge of many academic subjects than to specialize in one specific subject.,"It is true that learning many kinds of knowledge of academic subjects is good. However, it is also true that learning a specific subject is better to be specialized. I strongly agree that teaching specific subjects to students is more efficient. There are several reasons. First of all, most students learn a lot of subjects in school and have exams in each semester.","However, it is not necessary to become a specialist in one part.",1
908109.txt,"In twenty years, there will be fewer cars in use than there are today.",I agree with the statement that the number of cars in use will be reduced twenty years from now. Automobiles definitely have brought a drastic change in the way people used to travel before. Cars have added a lot of comfort and pleasure to people's lives.,"With cars available at a cost ,affordable to most people the number has increased drastically & will even increase in future as well.",1
993195.txt,Young people enjoy life more than older people do.,"LIFE IS LIFE! Young people enjoy life more than older people do. I don ` t agree with this sentence. Because some old people are young , so they enjoy life. Also all ages have different surprises in life.","When people are young, they can enjoy life so much.",1
1114004.txt,Most advertisements make products seem much better than they really are.,"I definitely agree that most advertisements make products seem much better than they really are. It's the way to sell products a few times. First of all, for making good products , companies need to have expensive and good materials or things.","It does nt matter what kind of product it is, they don't want to spend a lot of money on their products.",1
1653880.txt,Successful people try new things and take risks rather than only doing what they already know how to do well.,"What is life without trying new things? Well, life is all about trying new things and improving in various fields. what if Thomas Edison had not invented the first light bulb? We still would have been living in the dark. Im the kind of person who likes to try new things and give them a shot.","I believe that trying can make life and the whole world a better place to live in, and yes only successful people try new things.",1
320403.txt,Young people enjoy life more than older people do.,I agree with the statement that young people enjoy life more than older people do.,"As time goes by, older people get more experience from their lives and they already have some fierce.",1
1470044.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"Students have a number of ways to learn nowadays. Personally, it is much better when I study a topic or a passage understanding the main idea. I believe that grasping ideas and concepts rather than facts is the best way to succeed. Learning facts is very hard to keep because you could forget them over time, Understanding concepts is valuable when you are in different topics or environments, And finally students' skills can be enhanced.",It could be very valuable to study dates or names of events for example.,1
1229440.txt,"In twenty years, there will be fewer cars in use than there are today.","I disagree with the idea that in twenty years there will be fewer cars in use than there are today in Japan, there are the following reasons. First, the way of thinking is verifing now, so car makers should produce many kinds of cars to match the people's needs. Some people use theircars only when goingshopping, others use their cars as a kind of hobby. they like support cars, racing cars or off road cars, etc. Today, a typical family living in Japan has one car. But it is said that a typical family living in Japan will have two cars in a few years. one of them will be for the father and the other will be for the mother. The price of cars has become very cheap because of technology development, a typical family will be able to buy two cars in a few years.","In addition, in Japan, we cannot have a second car now because we don't have enough parking space in our home or we cannot pay the expensive parking fee.",1
1611251.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,I think it is more important for a student to understand concepts and ideas than to learn facts by hearing. This is for some simple reasons.,"It might be better for a student to learn facts, dates and results because that is what the teacher asks for.",1
619171.txt,"In twenty years, there will be fewer cars in use than there are today.","There is a controversial issue about whether in twenty years there will be fewer cars in use than there are today. Depending on personal experience, personality type and viewpoints of the globe , we may find that some people may hold the opinion that there will be more cars in twenty years than in today, on the other hand, some people may choose there will be fewer cars in use in twenty years than in today. The choice, nevertheless, is not easy to make. However, from my point of view, I would like to believe the latter one is more reasonable. Because there will be fewer cars in use in twenty years than now, my arguments are listed as follows. An essential reason that can be seen by everyone is that the gas released from cars in big cities pollutes the environment around us seriously. According to a recent survey announced by the Minister of Health of China, cars' gas pollution accounts for 38. 7% of the total pollution which harms our environment. This strongly demonstrates that car pollution is very harmful for our atmosphere and there should be fewer cars used in our lives. Another reason for my inclination is that the number of cars makes the cities become overcrowded and It is very inconvenient for people to go to study , work and so on. For instance, in a big city, It usually takes one person to live on the outskirts one or even two hours to arrive at the company he/she works for in the center of the city.",So this is very convenient.,1
1605992.txt,Young people enjoy life more than older people do.,"I strongly agree with the statement, as i personally experience the feeling. In life we need to enjoy every part, though it is related to money, adventure, drama etc. Elders are always frightened as they always think of the future rather than the present.",But youngsters are really bothered about the future.,1
1648252.txt,The best way to travel is in a group led by a tour guide.,"Traveling for me is as important as eating and sleeping. In fact, i would like to travel three times per year if i have the chance but that never happened. In my opinion, traveling in a group led by a tour guide is more realistic and more enjoyable especially for visiting a new place. Therefore, traveling with a group led by a tour guide will always be my choice because that will save my time and money, give me the background information about this new place, and give me the chance to meet and get to know new people in the group. First of all, since my budget is always law and fixed, traveling with a group maximizes my spending costs. Also, i will save time rather than wasting it seeing bad places or getting lost when i want to go to a good place. On the other hand, i will find time to hang out by my self on the streets because the tour time is limited during the day. Another main reason, the tour guide will be the most knowledgeable person about the history, museums, culture, and food of the people of this country. As a result, I will benefit from listening to this information and adding it to my knowledge.","Finally, most of the time i like to travel by myself, so, it will be a great chance to meet and get to know new people from all over the world and have new friends and talk about their cultures, 	In brief, by myself groub always be always my choice and i recommend recomend this way of traveling to my friends and my children in the future.",1
1550812.txt,Young people nowadays do not give enough time to helping their communities.,"I agree with this statement. Young people are too lazy to help people nowadays, although we sing:""stand hand in hand"" everyday in school. Young people nowadays are getting more and more selfish. We can hardly see a young person helping an old granny to cross the road nowadays, because we prefer chatting with friends beside the roads. I do not really know South African young people's behaviour, but i know young people in China very well. Of course, not all of us are selfish and unconcerned, but the majority of young people are selfish. They are everywhere, in the school, on the street and even just in our families. Unfortunately, i think that i am one of them too. i remember when i was in the schools of China. We need to do the daily cleaning everyday by ourselves, because that is and still is a part of our school duties. The class teacher divided us into several groups, and told us the date that we would be on duty. We want a nice and clear environment to study in, although we do not want to do the cleaning by ourselves. Therefore we expected other people could work harder to get the classroom clean. BUT, other people also thought that way. So, as you can imagine, we all worked not hard enough. Therefore, the next day we had an untidy, dirty classroom. People who had duty on that day might think that: They did not do the cleaning well, so why should I? Therefore, the next day we had an untidy, dirty classroom again. Then it just carried on like this, so we never had a clear classroom! That looks ridiculous, but that was exactly what happened. That is all about selfishness. Young people are just like that, pushing the duties on to others. Then the others will push them to someone else. We just cannot understand that if we help others, they will help us oneday, when we are experiencingdifficulties.","Young people nowadays DO have enough time to help their communities, but they just do not want to give it.",1
532892.txt,"In twenty years, there will be fewer cars in use than there are today.","It is generally believed that after twenty years, there will be fewer cars than today.","Although many people think that cars are getting more decreased, in my opinion, cars will be much more increased in twenty years.",1
698140.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"In my opinion, understanding ideas and concepts is very Important. The subject like java, we can know the knowledge of java by understanding the ideas and concepts. concepts are more Important than facts. By studying the facts like sun microsystems invented java,we can't understand the features ofjava. we can also learn by something hearing and studying the facts. facts can also Improve knowledge. By studying the facts like Independence we should know about the great leaders of our country ,and we should know about how they will work hard for Independence. History will tell about this.",So learning the facts was Important.,1
1627071.txt,Young people enjoy life more than older people do.,"Although many people think that only during youth can we really enjoy life, I don't agree with this statement and i will now give some reasons to support my idea. First, i think that in recent years young people don't have any more time to spend enjoying life. The stressful course of modern life doesn't allow them to stop a minute and taste it. Indeed they have to study hard and a lot to be able to find a job. on the contrary retired people have a lot of time they could spend by making holidays or just doing what they like to do. For example since i was ten years old, i have dreamt about what i would do during my retirement time because since that age i have only studied to manage to succeed in my future job without, thus,having the time to enjoy the best year of my life.","Second, i think that even though many physical problems add gradually during life, they allow old people to do what they want.",1
1071641.txt,Young people enjoy life more than older people do.,"Many people in the world try to enjoy their life. However some people think older people can not enjoy life, but that is just a stereotype. Old people can enjoy their life with their friends and hobbies. Young people usually like sports that old people can not do. There are some hobbies that old people can do, such as knitting, watching movies, planting their own gardens. Forexample, I watched my grandfather's one of daily life. He likes to plant flowers. When he got up in the morning, he went to the flowershop and looked for the special flower seeds. And when he got back home, he sprayed the water on the flowers. Sometimes he likes to show his wonderful garden to his neighbour. He loves to do it. The second reason is that not only young people have their friends. Forexample, my grandmother has lots offriends. In last month, she traveled to Europe with her friends. She said it was the best travelling ever done before. She did lots of shopping, and saw many beautiful european buildings. However, she said ,the best part of the trip was talking with her friends. When people get old, they still like to spend time with their friends and enjoy the time with them. Forthose reasons, old people can enjoy their life with their friends and hobbies. In particular my grandfather and grand mother, they really love their life. If someone says old people live their life just boring and nothing special, that is not true, they can live their life what they like to do and spend the time they want.","If they found their hobbies and friends, they would live their life better than younger people.",1
484161.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,Ideas and facts are really different things. Ideas explain something that can be done or couldnt. Because it is only an idea. But the fact is different. Facts must be done in real life. I think it is more important to learn facts than ideas. Because facts are real but ideas are not. You can learn so many ideas about something but you can't apply these ideas in real life.,It is not important if you don't apply ideas in real life.,1
283847.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"I agree with this. It is really important for students to understand ideas and concepts. It is a more difficult thing than learning facts. First, they can learn facts anytime, if they wish. But how about the ideas or concepts? The answer is it won't. Because to understand ideas and concepts isn't on the text or online. Even the teacher won't teach about that. And I think most of the kids don't know which of these. Do you know why? Most parents and the school sides think they are not necessary to teach or need them. But I think it's wrong. If we get the facts and concepts, the children can understand the really really basic part of things. And that makes children interested. Second, the facts and concepts are more specific things. All adults think, they are difficult for children so children don't have to know about that. That is not true. The truth is the adults don't know about the facts and concepts. That's why they say about that. They don't know so the children don't have to know.",I think that's kind of stupid.,1
969074.txt,"In twenty years, there will be fewer cars in use than there are today.","NO,I don't agree with this statement. Because,now a days present - day technology is improved a lot. People are introducing four wheelers with different models and different infrastructure. Not only this four wheeler and two wheeleralso. Nowadays, buying a car has become a prestige issue. So, everyone goes to buy a car if they have enough money. Most people in society feel that if they have a car then only people respect them.","Nowadays, there is no person without a car those who have enough money.",1
1071641.txt,Young people enjoy life more than older people do.,"Many people in the world try to enjoy their life. However some people think older people can not enjoy life, but that is just a stereotype. Old people can enjoy their life with their friends and hobbies.",Young people usually like sports that old people can not do.,1
1605992.txt,Young people enjoy life more than older people do.,"I strongly agree with the statement, as i personally experience the feeling. In life we need to enjoy every part, though it is related to money, adventure, drama etc. Elders are always frightened as they always think of the future rather than the present. But youngsters are really bothered about the future. For example when i am at school i need to go for a tour but my parents are very scared to send me, but finally they sent me with more caution. After comming back, they saw my video of my bangee jump on tour and started scolding me though i safely came back.",They are always more curious in life and they never try for any adventure.,1
731723.txt,Young people nowadays do not give enough time to helping their communities.,In my opinion young people have to help their communities because in this mode the youngers can improve their personal experiences and this fact is very important for every work that they will do.,"On the contrary, even if a young person might help the community, he or she cannot do it because they have not time for this purpose.",1
1530737.txt,The best way to travel is in a group led by a tour guide.,"First of all, I totally disagree with the following statement. And the reasons follow. One, from my personal experience, traveling by a tour guide is way more expensive than by yourself. Because the travel company which the guide is affiliated with always suggests expensive hotels with bad status and flights. In that case we might not be able to get a chance to stay in a nice hotel for a cheap price and have no season discount on flightseither. For example, one of my friends went to Germany from Korea for a flight that cost more than $ 1000 through the travel company, but I went to the same country the following week, less than $ 850 to get a season discount on my own. One more thing is that guides always lead the travelers only to famous spots which are listed on the itinerary. In that case you won't get a chance to visit some nice place that only a few people know. I once had a chance to stay in a nice old castle in France. Most of my friends are jealous and are dying to visit their after seeing the picture I took. Two, traveling in a group may be safe sometimes.","According to the 8 years of personal travel experience, most travel accidents occur in a group traveler.",1
476573.txt,Young people enjoy life more than older people do.,"60% of people who work do not have time for entertainment because of their work. They can not do anything about this. So I think young people will enjoy life more because they have a lot of free time, they are healthier and they and they usually do not have children. The young people have a lot of free time, and their life will not be affected if they waste it. When I was in high school I usually did not study that much, and I always drove cars with my friends. I only study before those tests, and I usually get good grades. When we look at the health of a young man, it will be much better than an old one. In competitions we usually see young men and women win. once I ran with my father from our house to my grandfather's house. I was the first in that race, and after arriving I even waited for him. young people usually have children and that will affect their normal life. All their time is spent on work or children.","When I see my older brother with his children, I say to my self that I do not want to have any children.",1
1954279.txt,Young people enjoy life more than older people do.,"I agree that young people enjoy life more than older people do because young people are energetic, sensitive to new technology and, have a passion to play. Young people are physically healthier and have more energy than older people. People can enjoy their life by exercising such as hiking, dancing and swimming which are the activities that most people do to enjoy their life. However,older people have difficulties doing active sports. They do not enjoy exercise as much as young people do.","Older people are physically venerable,so they have enough time to spend their time doing activities.",1
398389.txt,It is more important for students to understand ideas and concepts than it is for them to learn facts.,"I agree with the statement, it is more important for students to understand ideas and concepts than it is for them to learn facts.",Maybe learning facts is important for students.,1
1657333.txt,It is better to have broad knowledge of many academic subjects than to specialize in one specific subject.,"It isn't difficult for me to answer this question because i have thought since i was a child the same thing. According to my own experience i'm sure that the better way to create and improve my student career and first of all my personality is to have broad knowledge of many academic subjects. I refuse the idea that the best way is to specialize in one specific subject. I've grown up in an academic system that has always given me all the chance to learn about everything I've wanted. During those years i spent a lot of time reading about large amounts of material as scientific papers, historical ones, literary ones and much more. I think that for a person with broad knowledge it is easier to find a job, to create relationships with other people, to follow most of the television, paper, and book discussion. Moreover if you don't close any doors on your back you can always come back and start with another subject.","By the way I trust that it is also important to specialize in one specific subject, because nowadays the world of work requires more and more specializedworkers.",1
